3,Job 36:1-38:7
3,Job 38:8-42:17
4,Esther 1:1-3
4,Esther 1:4-2:3
4,Esther 2:4-15
4,Esther 2:16-3:6
4,Esther 3:7-4:2
4,Esther 4:3-5:4
4,Esther 5:5-6:8
4,Esther 6:7-7:10
4,Esther 8
4,"Esther 9, 10"
5,Nehemiah 1:1-6
5,Nehemiah 1:7-2:16
5,Nehemiah 2:17-3:3
5,Nehemiah 3:4-27
5,Nehemiah 3:28-32
5,Nehemiah 4
5,Nehemiah 5
5,Nehemiah 6
5,Nehemiah 7
5,Nehemiah 8
5,Nehemiah 9
5,Nehemiah 10-13
6,"Ezra 1:1, 2"
6,Ezra 1:2-2:70
6,"Ezra 3, 4"
6,"Ezra 5, 6"
6,"Ezra 7, 8"
6,Ezra 9
6,Ezra 10
7,1 Corinthians 1:1-8
7,1 Corinthians 1:9-12
7,1 Corinthians 1:13-31
7,1 Corinthians 2
7,1 Corinthians 3
7,1 Corinthians 4
7,1 Corinthians 5
7,1 Corinthians 6
7,1 Corinthians 7:1-21
7,1 Corinthians 7:20-40
7,1 Corinthians 8
7,1 Corinthians 9
7,1 Corinthians 10:1-22
7,1 Corinthians 10:23-11:4
7,1 Corinthians 11:4-16
7,1 Corinthians 11:17-34
7,1 Corinthians 12:1-7
7,1 Corinthians 12:8-31
7,1 Corinthians 12:31-14:2
7,1 Corinthians 14
7,1 Corinthians 15:1-8
7,1 Corinthians 15:1-44
7,1 Corinthians 15:35-58
7,1 Corinthians 16
8,2 Corinthians 1:1-3
8,2 Corinthians 1:4-20
8,2 Corinthians 1:10-2:13
8,2 Corinthians 2:14-3:14
8,2 Corinthians 3:11-18
8,2 Corinthians 4:1-6
8,2 Corinthians 4:3-18
8,2 Corinthians 5:1-10
8,2 Corinthians 5:10-15
8,2 Corinthians 5:16-21
8,2 Corinthians 6:1-11
8,2 Corinthians 6:11-7:1
8,2 Corinthians 7
8,2 Corinthians 8:1-7
8,2 Corinthians 8:8-9:5
8,2 Corinthians 9:6-10:4
8,2 Corinthians 10:1-11:5
8,2 Corinthians 11
8,2 Corinthians 12:1-16
8,2 Corinthians 12:14-13:14
9,1 Chronicles 1:1-9:1
9,"1 Chronicles 9, 10"
9,"1 Chronicles 11, 12"
9,1 Chronicles 13:1-15:2
9,1 Chronicles 15:1-16:7
9,1 Chronicles 16:8-17:27
9,"1 Chronicles 18, 19"
9,1 Chronicles 20:1-21:13
9,1 Chronicles 21:14-22:9
9,1 Chronicles 22:10-23:32
9,1 Chronicles 24:1-28:11
9,1 Chronicles 28:11-29:30
